genres,sum_playtime_forever,anio_release
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,17386015.0,2000
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
Action,7665369.0,2008
